_id_x,userId,timestamp,sessionId,itemsCollected,pickupAttempts,timeNearInteractables,enemiesHit,damageDone,timeInCombat,distanceTraveled,timeOutOfCombat,timeSprinting,kills,died,rawJson.user_id,rawJson.session_id,rawJson.timestamp,rawJson.items_collected,rawJson.pickup_attempts,rawJson.time_near_interactables,rawJson.enemies_hit,rawJson.damage_done,rawJson.time_in_combat,rawJson.distance_traveled,rawJson.time_out_of_combat,rawJson.time_sprinting,rawJson.kills,rawJson.deaths,__v_x,death_count,_id_y,consentAgreed,apiKey,createdAt,__v_y,score_combat,score_collect,score_explore,score_total,pct_combat,pct_collect,pct_explore,cluster,archetype,soft_combat,soft_collect,soft_explore,delta_combat,delta_collect,delta_explore
6974894b48d53c4152cf142a,6974892348d53c4152cf1421,1769264803.613,unreal_1769245003613,0.0,0.0,0.0,0.0,0.0,0.0,0.1158749007821344,0.9836065573770492,0.0,0.0,False,6974892348d53c4152cf1421,unreal_1769245003613,2026-01-24T14:26:43.613Z,0,0,0,0,0.0,0.0,1944.991014275692,30.0,0.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0,0.0,0.0,1.0994814581591836,1.0994814581591836,0.0,0.0,1.0,1,Exploration,0.12527798876507146,0.22404043610510704,0.6506815751298215,0.0,0.0,0.0
6974896948d53c4152cf1461,6974892348d53c4152cf1421,1769264833.617,unreal_1769245033617,0.2307692307692307,0.0595238095238095,0.1555555555555555,0.0,0.0,0.0,0.7063808627187167,0.9672131147540984,0.1639344262295082,0.0,False,6974892348d53c4152cf1421,unreal_1769245033617,2026-01-24T14:27:13.617Z,3,5,7,0,0.0,0.0,11856.790567850418,29.5,5.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0,0.0,0.4458485958485957,1.8375284037023236,2.283376999550919,0.0,0.1952584246649951,0.8047415753350049,1,Exploration,0.1092830895634327,0.25159506666194525,0.639121843774622,-0.015994899201638754,0.02755463055683821,-0.011559731355199498
6974898748d53c4152cf148d,6974892348d53c4152cf1421,1769264863.607,unreal_1769245063607,0.0769230769230769,0.0238095238095238,0.0444444444444444,0.0,0.0,0.0,0.7680743204061685,1.0,0.1311475409836065,0.0,False,6974892348d53c4152cf1421,unreal_1769245063607,2026-01-24T14:27:43.607Z,1,2,2,0,0.0,0.0,12892.331655970096,30.5,4.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0,0.0,0.1451770451770451,1.899221861389775,2.04439890656682,0.0,0.0710120929485539,0.928987907051446,1,Exploration,0.06298244196456851,0.12495937688382885,0.8120581811516027,-0.046300647598864195,-0.1266356897781164,0.17293633737698066
697489a548d53c4152cf14b7,6974892348d53c4152cf1421,1769264893.601,unreal_1769245093601,0.2307692307692307,0.0357142857142857,0.0888888888888888,0.0,0.0,0.0,0.6929663041402463,0.9836065573770492,0.0,0.0,False,6974892348d53c4152cf1421,unreal_1769245093601,2026-01-24T14:28:13.601Z,3,3,4,0,0.0,0.0,11631.62363593083,30.0,0.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0,0.0,0.3553724053724052,1.6765728615172957,2.031945266889701,0.0,0.1748927056073581,0.8251072943926417,1,Exploration,0.09110470311058728,0.206646562160529,0.7022487347288837,0.028122261146018776,0.08168718527670016,-0.10980944642271895
697489c348d53c4152cf14e4,6974892348d53c4152cf1421,1769264923.579,unreal_1769245123579,0.0769230769230769,0.1309523809523809,0.1777777777777777,0.0106382978723404,0.0063965884861407,0.0655737704918032,0.6855353065640858,0.918032786885246,0.0,0.0,False,6974892348d53c4152cf1421,unreal_1769245123579,2026-01-24T14:28:43.579Z,1,11,8,1,8.0,2.0,11506.892366128828,28.0,0.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0,0.0826086568502842,0.3856532356532355,1.603568093449332,2.071829985952852,0.0398723145288834,0.1861413524603807,0.7739863330107357,1,Exploration,0.119993376662345,0.30726973756327275,0.5727368857743822,0.028888673551757713,0.10062317540274374,-0.12951184895450152
697489e148d53c4152cf151a,6974892348d53c4152cf1421,1769264953.61,unreal_1769245153610,0.0,0.0,0.0,0.2553191489361702,0.1321961620469083,0.5081967213114754,0.4000952409760668,0.4590163934426229,0.0,0.2,False,6974892348d53c4152cf1421,unreal_1769245153610,2026-01-24T14:29:13.610Z,0,0,0,24,165.33333333333331,15.5,6715.704982704047,14.0,0.0,3,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0,1.095712032294554,0.0,0.8591116344186898,1.954823666713244,0.5605170691108099,0.0,0.4394829308891901,0,Combat,0.8329509867005529,0.10771352566962313,0.059335487629824005,0.7129576100382079,-0.19955621189364964,-0.5134013981445582
697489ff48d53c4152cf155f,6974892348d53c4152cf1421,1769264983.588,unreal_1769245183588,0.0769230769230769,0.0119047619047619,0.0222222222222222,0.0744680851063829,0.0511727078891258,0.2131147540983606,0.688120728323022,0.7868852459016393,0.3770491803278689,0.0666666666666666,False,6974892348d53c4152cf1421,unreal_1769245183588,2026-01-24T14:29:43.588Z,1,1,1,7,64.0,6.5,11550.289357671443,24.0,11.5,1,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0,0.4054222137605359,0.111050061050061,1.85205515455253,2.368527429363127,0.1711705799706739,0.0468856977011751,0.7819437223281509,2,Collection,0.1470573874148104,0.4359160208392612,0.41702659174592843,-0.6858935992857425,0.32820249516963806,0.35769110411610444
69748a1d48d53c4152cf15a2,6974892348d53c4152cf1421,1769265013.597,unreal_1769245213597,0.0769230769230769,0.0238095238095238,0.0222222222222222,0.0,0.0,0.0,0.8102674798123116,0.9836065573770492,0.3934426229508196,0.0,False,6974892348d53c4152cf1421,unreal_1769245213597,2026-01-24T14:30:13.597Z,1,2,1,0,0.0,0.0,13600.555053400638,30.0,12.0,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0,0.0,0.1229548229548229,2.1873166601401803,2.3102714830950037,0.0,0.0532209412852657,0.9467790587147342,1,Exploration,0.08158601118213808,0.15762661520733717,0.7607873736105248,-0.06547137623267231,-0.278289405631924,0.3437607818645964
69748a3b48d53c4152cf15dc,6974892348d53c4152cf1421,1769265043.585,unreal_1769245243585,0.1538461538461538,0.0357142857142857,0.0888888888888888,0.0,0.0,0.0,0.7098337870915381,0.9672131147540984,0.0491803278688524,0.0,False,6974892348d53c4152cf1421,unreal_1769245243585,2026-01-24T14:30:43.585Z,2,3,4,0,0.0,0.0,11914.748821387466,29.5,1.5,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0,0.0,0.2784493284493283,1.726227229714489,2.0046765581638173,0.0,0.1388998775465174,0.8611001224534826,1,Exploration,0.051067713663665165,0.11146347347442494,0.8374688128619099,-0.030518297518472917,-0.046163141732912236,0.07668143925138504
69748a5948d53c4152cf1619,6974892348d53c4152cf1421,1769265073.61,unreal_1769245273610,0.1538461538461538,0.0595238095238095,0.1555555555555555,0.0,0.0,0.0,0.7757659202446384,0.9836065573770492,0.2459016393442623,0.0,False,6974892348d53c4152cf1421,unreal_1769245273610,2026-01-24T14:31:13.610Z,2,5,7,0,0.0,0.0,13021.43720402451,30.0,7.5,0,0,0,0,6974892348d53c4152cf1421,True,key_2tknxe0by,2026-01-24T14:26:03.703Z,0,0.0,0.3689255189255188,2.00527411696595,2.3741996358914688,0.0,0.1553894261242248,0.8446105738757751,1,Exploration,0.07064375356710957,0.157188219336426,0.7721680270964644,0.019576039903444406,0.04572474586200105,-0.06530078576544551
